reported_date,crime_count,frequent_crime_code
2016-01-01,140,25E
2016-01-02,138,81A
2016-01-03,143,25E
2016-01-04,117,35H
2016-01-05,110,81A
2016-01-06,127,81A
2016-01-07,151,81A
2016-01-08,131,81A
2016-01-09,114,81A
2016-01-10,122,54D
2016-01-11,137,80B
2016-01-12,136,81A
2016-01-13,141,81A
2016-01-14,135,25E
2016-01-15,123,81A
2016-01-16,138,80B
2016-01-17,104,81A
2016-01-18,118,81A
2016-01-19,135,81A
2016-01-20,144,81A
2016-01-21,156,81A
2016-01-22,97,81A
2016-01-23,69,25E
2016-01-24,100,81A
2016-01-25,128,81A
2016-01-26,128,81A
2016-01-27,139,35F
2016-01-28,126,81A
2016-01-29,143,81A
2016-01-30,151,81A
2016-01-31,132,81A
2016-02-01,144,35F
2016-02-02,155,81A
2016-02-03,150,81A
2016-02-04,119,81A
2016-02-05,138,81A
2016-02-06,153,81A
2016-02-07,143,71A
2016-02-08,119,81A
2016-02-09,132,81A
2016-02-10,138,81A
2016-02-11,122,81A
2016-02-12,125,81A
2016-02-13,133,81A
2016-02-14,103,81A
2016-02-15,93,81A
2016-02-16,146,81A
2016-02-17,143,81A
2016-02-18,130,25E
2016-02-19,128,54D
2016-02-20,145,25E
2016-02-21,137,81A
2016-02-22,143,81A
2016-02-23,136,81A
2016-02-24,112,25E
2016-02-25,130,81A
2016-02-26,146,81A
2016-02-27,130,81A
2016-02-28,138,25E
2016-02-29,134,81A
2016-03-01,103,81A
2016-03-02,100,25E
2016-03-03,105,81A
2016-03-04,129,81A
2016-03-05,95,81A
2016-03-06,106,25E
2016-03-07,140,81A
2016-03-08,105,81A
2016-03-09,117,81A
2016-03-10,133,81A
2016-03-11,158,81A
2016-03-12,163,81A
2016-03-13,141,81A
2016-03-14,138,81A
2016-03-15,120,81A
2016-03-16,156,81A
2016-03-17,138,81A
2016-03-18,160,81A
2016-03-19,138,81A
2016-03-20,119,81A
2016-03-21,156,81A
2016-03-22,150,81A
2016-03-23,161,81A
2016-03-24,156,81A
2016-03-25,144,81A
2016-03-26,129,25E
2016-03-27,114,25E
2016-03-28,126,80B
2016-03-29,140,35F
2016-03-30,120,81A
2016-03-31,146,81A
2016-04-01,179,81A
2016-04-02,144,81A
2016-04-03,129,81A
2016-04-04,151,81A
2016-04-05,157,81A
2016-04-06,126,81A
2016-04-07,133,81A
2016-04-08,165,81A
2016-04-09,129,81A
2016-04-10,114,81A
2016-04-11,135,81A
2016-04-12,136,81A
2016-04-13,153,81A
2016-04-14,142,81A
2016-04-15,156,81A
2016-04-16,154,81A
2016-04-17,137,81A
2016-04-18,155,81A
2016-04-19,150,81A
2016-04-20,146,81A
2016-04-21,173,81A
2016-04-22,186,81A
2016-04-23,133,25E
2016-04-24,147,25E
2016-04-25,140,81A
2016-04-26,147,81A
2016-04-27,139,81A
2016-04-28,135,81A
2016-04-29,144,25E
2016-04-30,149,81A
2016-05-01,136,81A
2016-05-02,152,25E
2016-05-03,116,81A
2016-05-04,126,81A
2016-05-05,150,81A
2016-05-06,118,81A
2016-05-07,141,81A
2016-05-08,143,81A
2016-05-09,143,81A
2016-05-10,144,25E
2016-05-11,141,81A
2016-05-12,171,25E
2016-05-13,164,54D
2016-05-14,143,81A
2016-05-15,146,25E
2016-05-16,143,81A
2016-05-17,141,81A
2016-05-18,150,81A
2016-05-19,133,25E
2016-05-20,153,81A
2016-05-21,159,81A
2016-05-22,153,81A
2016-05-23,140,35H
2016-05-24,152,81A
2016-05-25,140,81A
2016-05-26,160,81A
2016-05-27,155,81A
2016-05-28,124,25E
2016-05-29,116,25E
2016-05-30,149,81A
2016-05-31,133,81A
2016-06-01,147,81A
2016-06-02,132,81A
