OBJECTID,HSISID,SCORE,DATE,TYPE,INSPECTOR
22332274,4092017542,94.5,2017-04-07,Inspection,Anne-Kathrin Bartoli
22332275,4092017542,92.0,2017-11-08,Inspection,Laura McNeill
22332276,4092017542,95.0,2018-03-23,Inspection,Laura McNeill
22332277,4092017542,93.5,2018-09-07,Inspection,Laura McNeill
22332278,4092017542,93.0,2019-04-04,Inspection,Joanne Rutkofske
22332279,4092017542,93.5,2019-10-07,Inspection,Naterra McQueen
22332280,4092017542,92.5,2020-05-19,Inspection,Naterra McQueen
22332281,4092017542,94.0,2020-10-09,Inspection,Nicole Millard
22332282,4092017542,94.0,2021-03-24,Inspection,Nicole Millard
22332283,4092017542,92.0,2021-07-20,Inspection,David Adcock
22332465,4092015321,98.5,2016-03-03,Inspection,Laura McNeill
22332466,4092015321,96.5,2016-08-14,Inspection,Anne-Kathrin Bartoli
22332467,4092015321,97.5,2017-05-18,Inspection,Maria Powell
22332468,4092015321,98.0,2017-11-27,Inspection,Maria Powell
22332469,4092015321,97.0,2018-04-16,Inspection,Maria Powell
22332470,4092015321,97.5,2018-08-21,Inspection,Maria Powell
22332471,4092015321,95.5,2019-04-24,Inspection,Sarah Thompson
22332472,4092015321,96.5,2019-11-05,Inspection,Joanne Rutkofske
22332473,4092015321,97.5,2020-04-09,Inspection,Joanne Rutkofske
22332474,4092015321,97.5,2020-08-04,Inspection,Joanne Rutkofske
22332475,4092015321,99.5,2021-01-28,Inspection,Joanne Rutkofske
22332476,4092015321,94.5,2021-07-27,Inspection,Joanne Rutkofske
22332477,4092018593,98.5,2021-05-20,Inspection,Zachary Carter
22332478,4092017541,95.0,2017-03-28,Inspection,David Adcock
22332479,4092017541,98.0,2017-11-03,Inspection,Angela Jacobs
22332480,4092017541,94.0,2018-04-13,Inspection,Angela Jacobs
22332481,4092017541,96.0,2018-11-02,Inspection,Ginger Johnson
22332482,4092017541,95.5,2019-04-02,Inspection,Ginger Johnson
22332483,4092017541,98.5,2019-10-03,Inspection,Ginger Johnson
22332484,4092017541,100.0,2020-01-07,Inspection,Ginger Johnson
22332485,4092017541,100.0,2020-04-23,Inspection,Ginger Johnson
22332486,4092017541,100.0,2020-11-16,Inspection,John Wulffert
22332487,4092017541,99.5,2021-04-28,Inspection,John Wulffert
22332488,4092017541,99.5,2021-09-16,Inspection,John Wulffert
22332489,4092018228,95.5,2019-12-13,Inspection,Daryl Beasley
22332490,4092018228,93.0,2020-06-26,Inspection,Daryl Beasley
22332491,4092018228,92.5,2020-12-01,Inspection,Zachary Carter
22332492,4092018228,93.5,2021-04-01,Inspection,Daryl Beasley
22332493,4092017322,97.5,2016-10-12,Inspection,Pamela Scott
22332494,4092017322,97.5,2017-05-24,Inspection,Pamela Scott
22332495,4092017322,96.5,2017-12-14,Inspection,Pamela Scott
22332496,4092017322,98.0,2018-06-27,Inspection,Michael Robinson
22332497,4092017322,96.0,2018-10-04,Inspection,Melodee Johnson
22332498,4092017322,98.5,2019-01-14,Inspection,Melodee Johnson
22332499,4092017322,97.5,2019-09-05,Inspection,Lauren Harden
22332500,4092017322,95.5,2020-02-27,Inspection,Lauren Harden
22332501,4092017322,98.5,2020-07-10,Inspection,Lauren Harden
22332502,4092017322,98.0,2021-03-31,Inspection,Naterra McQueen
22332509,4092016286,93.0,2016-09-08,Inspection,Caroline Suggs
22332510,4092016286,95.5,2017-08-28,Inspection,Shakera Robbins
22332511,4092016286,95.0,2018-09-24,Inspection,Marion Wearing
22332512,4092016286,94.0,2019-08-13,Inspection,Maria Powell
22332513,4092016286,95.0,2020-03-26,Inspection,Maria Powell
22332514,4092016286,97.0,2021-01-27,Inspection,Maria Powell
22332515,4092017539,98.0,2017-06-08,Inspection,David Adcock
22332516,4092017539,97.5,2018-01-09,Inspection,Caroline Suggs
22332517,4092017539,98.5,2018-08-09,Inspection,Caroline Suggs
22332518,4092017539,98.0,2019-02-07,Inspection,Caroline Suggs
22332519,4092017539,98.0,2019-10-17,Inspection,Sarah Thompson
22332520,4092017539,97.5,2021-03-23,Inspection,Sarah Thompson
22332521,4092017191,97.0,2016-05-02,Inspection,Angela Myers
