OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1924822,4092016155,DAILY PLANET CAFE,11   W JONES ST ,RALEIGH,27601,+19197078060,2012-04-12,2,-78.63943083,35.78220511,M
1924823,4092016161,HIBACHI 88,3416 POOLE RD ,RALEIGH,27610,+19192311688,2012-04-18,4,-78.57953261,35.76724571,M
1924824,4092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,CARY,27511,+19194592670,2016-03-11,5,-78.77802091,35.78798563,M
1924825,4092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,KNIGHTDALE,27545,+19193738076,2020-04-22,6,-78.47356613,35.79722482,M
1924828,4092017192,STARBUCKS #19453,185 GRAND HILL PL ,HOLLY SPRINGS,27540,+19195573246,2016-04-05,16,-78.84948074,35.66266499,M
1924829,4092018593,Wendy's,1809 N HARRISON AVE ,CARY,27513,+19196770039,2021-03-24,25,-78.76795619,35.83059406,M
1924830,4092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,WAKE FOREST,27587,+19196484221,2013-05-31,28,-78.54504471,35.96485726,M
1924831,4092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,RALEIGH,27616,+19198036920,2016-09-27,32,-78.537511,35.87630713,M
1924832,4092017187,THE 19TH HOLE,1527 TRYON RD ,RALEIGH,27603,+19197729987,2016-04-01,34,-78.66755526,35.73521897,M
1924833,4092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,APEX,27523,+19193316035,2016-03-14,38,-78.82726689,35.7464159,M
1924834,4092017178,RALEIGH RAW,7 W HARGETT ST ,RALEIGH,27601,+19194000944,2016-03-14,39,-78.63957991,35.77810063,M
1924835,4092018368,D's Bottle Shop,13200 Falls of Neuse RD ,RALEIGH,27614,+19194357034,2020-05-20,40,-78.55981965,35.9407555,M
1924836,4092016487,PEACE CHINA,13220 Strickland  RD ,RALEIGH,27613,+19196769968,2013-08-14,42,-78.72593809,35.90878313,M
1924837,4092017849,The Melting Pot,3100 Wake Forest RD ,RALEIGH,27609-7846,+19198780477,2018-05-14,50,-78.62038753,35.82333592,M
1924839,4092018645,Five Guys #1710,1121 Parkside Main ST ,CARY,27519,+19193800450,2021-06-07,61,-78.88929435,35.84836238,M
