date,TAVG
2016-01-01,49.0
2016-01-02,43.0
2016-01-03,40.0
2016-01-04,38.0
2016-01-05,29.0
2016-01-06,30.0
2016-01-07,40.0
2016-01-08,42.0
2016-01-09,47.0
2016-01-10,56.0
2016-01-11,37.0
2016-01-12,38.0
2016-01-13,38.0
2016-01-14,40.0
2016-01-15,44.0
2016-01-16,49.0
2016-01-17,40.0
2016-01-18,32.0
2016-01-19,24.0
2016-01-20,27.0
2016-01-21,34.0
2016-01-22,29.0
2016-01-23,28.0
2016-01-24,35.0
2016-01-25,35.0
2016-01-26,46.0
2016-01-27,49.0
2016-01-28,40.0
2016-01-29,42.0
2016-01-30,40.0
2016-01-31,51.0
2016-02-01,59.0
2016-02-02,56.0
2016-02-03,58.0
2016-02-04,59.0
2016-02-05,43.0
2016-02-06,36.0
2016-02-07,40.0
2016-02-08,41.0
2016-02-09,38.0
2016-02-10,32.0
2016-02-11,29.0
2016-02-12,29.0
2016-02-13,31.0
2016-02-14,23.0
2016-02-15,27.0
2016-02-16,48.0
2016-02-17,47.0
2016-02-18,42.0
2016-02-19,39.0
2016-02-20,52.0
2016-02-21,56.0
2016-02-22,55.0
2016-02-23,45.0
2016-02-24,55.0
2016-02-25,51.0
2016-02-26,42.0
2016-02-27,37.0
2016-02-28,47.0
2016-02-29,59.0
2016-03-01,56.0
2016-03-02,55.0
2016-03-03,39.0
2016-03-04,41.0
2016-03-05,44.0
2016-03-06,47.0
2016-03-07,49.0
2016-03-08,60.0
2016-03-09,63.0
2016-03-10,68.0
2016-03-11,71.0
2016-03-12,68.0
2016-03-13,68.0
2016-03-14,69.0
2016-03-15,64.0
2016-03-16,69.0
2016-03-17,65.0
2016-03-18,62.0
2016-03-19,55.0
2016-03-20,42.0
2016-03-21,45.0
2016-03-22,48.0
2016-03-23,61.0
2016-03-24,66.0
2016-03-25,69.0
2016-03-26,62.0
2016-03-27,57.0
2016-03-28,64.0
2016-03-29,57.0
2016-03-30,55.0
2016-03-31,65.0
2016-04-01,71.0
2016-04-02,66.0
2016-04-03,54.0
2016-04-04,59.0
2016-04-05,53.0
2016-04-06,45.0
2016-04-07,60.0
2016-04-08,55.0
2016-04-09,48.0
2016-04-10,44.0
2016-04-11,58.0
2016-04-12,62.0
2016-04-13,56.0
2016-04-14,53.0
2016-04-15,54.0
2016-04-16,53.0
2016-04-17,56.0
2016-04-18,62.0
2016-04-19,70.0
2016-04-20,67.0
2016-04-21,66.0
2016-04-22,66.0
2016-04-23,66.0
2016-04-24,63.0
2016-04-25,66.0
2016-04-26,71.0
2016-04-27,74.0
2016-04-28,72.0
2016-04-29,68.0
2016-04-30,62.0
2016-05-01,65.0
2016-05-02,72.0
2016-05-03,69.0
2016-05-04,65.0
2016-05-05,56.0
2016-05-06,54.0
2016-05-07,61.0
2016-05-08,71.0
2016-05-09,71.0
2016-05-10,74.0
2016-05-11,73.0
2016-05-12,71.0
2016-05-13,70.0
2016-05-14,67.0
2016-05-15,60.0
2016-05-16,57.0
2016-05-17,64.0
2016-05-18,62.0
2016-05-19,61.0
2016-05-20,62.0
2016-05-21,67.0
2016-05-22,63.0
2016-05-23,58.0
2016-05-24,65.0
2016-05-25,73.0
2016-05-26,76.0
2016-05-27,78.0
2016-05-28,75.0
2016-05-29,73.0
2016-05-30,71.0
2016-05-31,75.0
2016-06-01,75.0
2016-06-02,75.0
2016-06-03,80.0
2016-06-04,79.0
2016-06-05,79.0
2016-06-06,76.0
2016-06-07,78.0
2016-06-08,72.0
2016-06-09,69.0
2016-06-10,72.0
2016-06-11,79.0
2016-06-12,82.0
2016-06-13,78.0
2016-06-14,74.0
2016-06-15,79.0
2016-06-16,80.0
2016-06-17,77.0
2016-06-18,72.0
2016-06-19,70.0
2016-06-20,73.0
2016-06-21,78.0
2016-06-22,82.0
2016-06-23,82.0
2016-06-24,76.0
2016-06-25,77.0
2016-06-26,75.0
2016-06-27,76.0
2016-06-28,75.0
2016-06-29,77.0
2016-06-30,76.0
2016-07-01,80.0
2016-07-02,79.0
2016-07-03,74.0
2016-07-04,73.0
2016-07-05,82.0
2016-07-06,79.0
2016-07-07,81.0
2016-07-08,81.0
2016-07-09,79.0
2016-07-10,79.0
2016-07-11,80.0
2016-07-12,80.0
2016-07-13,81.0
2016-07-14,84.0
2016-07-15,83.0
2016-07-16,77.0
2016-07-17,77.0
2016-07-18,81.0
2016-07-19,84.0
2016-07-20,80.0
2016-07-21,80.0
2016-07-22,82.0
2016-07-23,82.0
2016-07-24,84.0
2016-07-25,86.0
2016-07-26,86.0
2016-07-27,83.0
2016-07-28,84.0
2016-07-29,84.0
2016-07-30,83.0
2016-07-31,83.0
2016-08-01,79.0
2016-08-02,80.0
2016-08-03,78.0
2016-08-04,78.0
2016-08-05,79.0
2016-08-06,81.0
2016-08-07,80.0
2016-08-08,79.0
2016-08-09,80.0
2016-08-10,82.0
2016-08-11,83.0
2016-08-12,84.0
2016-08-13,85.0
2016-08-14,85.0
2016-08-15,85.0
2016-08-16,85.0
2016-08-17,85.0
2016-08-18,83.0
2016-08-19,81.0
2016-08-20,80.0
2016-08-21,82.0
2016-08-22,78.0
2016-08-23,76.0
2016-08-24,76.0
2016-08-25,78.0
2016-08-26,84.0
2016-08-27,84.0
2016-08-28,79.0
2016-08-29,80.0
2016-08-30,79.0
2016-08-31,82.0
2016-09-01,80.0
2016-09-02,73.0
2016-09-03,69.0
2016-09-04,71.0
2016-09-05,70.0
2016-09-06,75.0
2016-09-07,80.0
2016-09-08,81.0
2016-09-09,81.0
2016-09-10,82.0
2016-09-11,82.0
2016-09-12,78.0
2016-09-13,77.0
2016-09-14,78.0
2016-09-15,78.0
2016-09-16,75.0
2016-09-17,75.0
2016-09-18,78.0
2016-09-19,75.0
2016-09-20,72.0
2016-09-21,72.0
2016-09-22,74.0
2016-09-23,76.0
2016-09-24,76.0
2016-09-25,72.0
2016-09-26,70.0
2016-09-27,73.0
2016-09-28,75.0
2016-09-29,71.0
2016-09-30,75.0
2016-10-01,74.0
2016-10-02,68.0
2016-10-03,69.0
2016-10-04,68.0
2016-10-05,65.0
2016-10-06,65.0
2016-10-07,69.0
2016-10-08,69.0
2016-10-09,64.0
2016-10-10,57.0
2016-10-11,54.0
2016-10-12,57.0
2016-10-13,62.0
2016-10-14,63.0
2016-10-15,60.0
2016-10-16,62.0
2016-10-17,68.0
2016-10-18,71.0
2016-10-19,72.0
2016-10-20,73.0
2016-10-21,69.0
2016-10-22,57.0
2016-10-23,53.0
2016-10-24,61.0
2016-10-25,57.0
2016-10-26,52.0
2016-10-27,59.0
2016-10-28,65.0
2016-10-29,61.0
2016-10-30,67.0
2016-10-31,63.0
2016-11-01,58.0
2016-11-02,62.0
2016-11-03,67.0
2016-11-04,64.0
2016-11-05,51.0
2016-11-06,51.0
2016-11-07,51.0
2016-11-08,48.0
2016-11-09,54.0
2016-11-10,52.0
2016-11-11,52.0
2016-11-12,50.0
2016-11-13,41.0
2016-11-14,48.0
2016-11-15,51.0
2016-11-16,50.0
