,OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
0,1891530,4092016487,PEACE CHINA,13220 Strickland  RD ,RALEIGH,27613,(919) 676-9968,2013-08-14,2,-78.72593809,35.90878313,M
1,1891531,4092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,RALEIGH,27609,(919) 890-5225,2021-05-13,22,-78.62263526,35.8662752,M
2,1891532,4092016155,DAILY PLANET CAFE,11   W JONES ST ,RALEIGH,27601,(919) 707-8060,2012-04-12,26,-78.63943083,35.78220511,M
3,1891533,4092016161,HIBACHI 88,3416 POOLE RD ,RALEIGH,27610,(919) 231-1688,2012-04-18,28,-78.57953261,35.76724571,M
4,1891534,4092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,CARY,27511,(919) 459-2670,2016-03-11,29,-78.77802091,35.78798563,M
5,1891535,4092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,KNIGHTDALE,27545,(919) 373-8076,2020-04-22,30,-78.47356613,35.79722482,M
6,1891536,4092017187,THE 19TH HOLE,1527 TRYON RD ,RALEIGH,27603,(919) 772-9987,2016-04-01,34,-78.66755526,35.73521897,M
7,1891537,4092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,APEX,27523,(919) 331-6035,2016-03-14,38,-78.82726689,35.7464159,M
8,1891538,4092017178,RALEIGH RAW,7 W HARGETT ST ,RALEIGH,27601,(919) 400-0944,2016-03-14,39,-78.63957991,35.77810063,M
9,1891539,4092018368,D's Bottle Shop,13200 Falls of Neuse RD ,RALEIGH,27614,(919) 435-7034,2020-05-20,40,-78.55981965,35.9407555,M
10,1891540,4092017539,HAMPTON INN RALEIGH/CARY BREAKFAST,201 ASHVILLE AVE ,CARY,27518,(919) 859-5559,2017-02-28,42,-78.78426862,35.73925014,M
12,1891542,4092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,WAKE FOREST,27587,(919) 554-1209,2013-08-20,53,-78.52999701,35.94975468,M
14,1891544,4092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,MORRISVILLE,27650,(919) 234-0652,2019-12-03,56,-78.84707532,35.82315923,M
15,1891545,4092018593,Wendy's,1809 N HARRISON AVE ,CARY,27513,(919) 677-0039,2021-03-24,57,-78.76795619,35.83059406,M
16,1891546,4092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,WAKE FOREST,27587,(919) 648-4221,2013-05-31,60,-78.54504471,35.96485726,M
17,1891547,4092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,RALEIGH,27616,(919) 803-6920,2016-09-27,64,-78.537511,35.87630713,M
18,1891548,4092017322,BADA BEAN COFFEE & THINGS,938 GATEWAY COMMONS CIR ,WAKE FOREST,27587,(984) 235-4608,2016-09-16,82,-78.4951784,35.96732914,M
19,1891549,4092017179,DUCK DONUTS,8323 CREEDMOOR RD ,RALEIGH,27613,(919) 847-8300,2016-03-08,99,-78.68223183,35.90105252,M
21,1891551,4092018647,Five Guys #0368,8107 Creedmoor RD ,RALEIGH,27613,(919) 844-7057,2021-06-07,110,-78.68116797,35.89788799,M
22,1891552,4092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,RALEIGH,27615,(919) 703-0874,2016-04-05,112,-78.62166097,35.89510574,M
23,1891553,4092018657,Coffee & Crepes,315 Crossroads BLVD ,CARY,27511,(919) 233-0288,2021-06-22,120,-78.73871452,35.76064286,M
24,1891554,4092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,RALEIGH,27613,(919) 615-1703,2012-09-11,123,-78.68248786,35.89850336,M
25,1891555,4092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,RALEIGH,27609,(919) 881-2590,2012-09-21,126,-78.63994726,35.83691426,M
26,1891556,4092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,RALEIGH,27606,(919) 858-6501,2015-04-08,133,-78.68893912,35.78436913,M
27,1891557,4092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,MORRISVILLE,27560,(919) 388-3500,2012-04-19,135,-78.81676023,35.80454378,M
30,1891560,4092018483,LoneRider at Five Points,1626 Glenwood Ave ,RALEIGH,27608,(919) 322-2434,2020-11-10,154,-78.64536523,35.80340045,M
31,1891561,4092016771,Linus & Pepper's,126 S SALISBURY ST ,RALEIGH,27601,(919) 649-2154,2014-09-30,182,-78.64041384,35.77862242,M
34,1891564,4092016265,ACRO CAFE,11 W JONES ST ,RALEIGH,27601,(919) 733-7450,2012-09-14,196,-78.63943083,35.78220511,M
35,1891565,4092014520,El Tapatio #4,4511 New Bern AVE,RALEIGH,27610,(919) 255-9161,2006-03-09,204,-78.55938498,35.79875761,M
36,1891566,4092018700,Chick-fil-A #01488,220 SHENSTONE BLVD,GARNER,27529,,2021-08-28,205,-78.58261702,35.69212111,M
37,1891567,4092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,CARY,27519,(919) 371-2693,2014-11-13,206,-78.88824644,35.84415135,M
