OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1891530,4092016487,PEACE CHINA,13220 Strickland  RD ,RALEIGH,27613,+19196769968,2013-08-14,2,-78.72593809,35.90878313,M
1891531,4092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,RALEIGH,27609,+19198905225,2021-05-13,22,-78.62263526,35.8662752,M
1891532,4092016155,DAILY PLANET CAFE,11   W JONES ST ,RALEIGH,27601,+19197078060,2012-04-12,26,-78.63943083,35.78220511,M
1891533,4092016161,HIBACHI 88,3416 POOLE RD ,RALEIGH,27610,+19192311688,2012-04-18,28,-78.57953261,35.76724571,M
1891534,4092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,CARY,27511,+19194592670,2016-03-11,29,-78.77802091,35.78798563,M
1891535,4092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,KNIGHTDALE,27545,+19193738076,2020-04-22,30,-78.47356613,35.79722482,M
1891536,4092017187,THE 19TH HOLE,1527 TRYON RD ,RALEIGH,27603,+19197729987,2016-04-01,34,-78.66755526,35.73521897,M
1891537,4092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,APEX,27523,+19193316035,2016-03-14,38,-78.82726689,35.7464159,M
1891538,4092017178,RALEIGH RAW,7 W HARGETT ST ,RALEIGH,27601,+19194000944,2016-03-14,39,-78.63957991,35.77810063,M
1891539,4092018368,D's Bottle Shop,13200 Falls of Neuse RD ,RALEIGH,27614,+19194357034,2020-05-20,40,-78.55981965,35.9407555,M
1891540,4092017539,HAMPTON INN RALEIGH/CARY BREAKFAST,201 ASHVILLE AVE ,CARY,27518,+19198595559,2017-02-28,42,-78.78426862,35.73925014,M
1891542,4092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,WAKE FOREST,27587,+19195541209,2013-08-20,53,-78.52999701,35.94975468,M
1891544,4092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,MORRISVILLE,27650,+19192340652,2019-12-03,56,-78.84707532,35.82315923,M
1891545,4092018593,Wendy's,1809 N HARRISON AVE ,CARY,27513,+19196770039,2021-03-24,57,-78.76795619,35.83059406,M
1891546,4092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,WAKE FOREST,27587,+19196484221,2013-05-31,60,-78.54504471,35.96485726,M
1891547,4092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,RALEIGH,27616,+19198036920,2016-09-27,64,-78.537511,35.87630713,M
1891548,4092017322,BADA BEAN COFFEE & THINGS,938 GATEWAY COMMONS CIR ,WAKE FOREST,27587,+19842354608,2016-09-16,82,-78.4951784,35.96732914,M
1891549,4092017179,DUCK DONUTS,8323 CREEDMOOR RD ,RALEIGH,27613,+19198478300,2016-03-08,99,-78.68223183,35.90105252,M
1891551,4092018647,Five Guys #0368,8107 Creedmoor RD ,RALEIGH,27613,+19198447057,2021-06-07,110,-78.68116797,35.89788799,M
1891552,4092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,RALEIGH,27615,+19197030874,2016-04-05,112,-78.62166097,35.89510574,M
1891553,4092018657,Coffee & Crepes,315 Crossroads BLVD ,CARY,27511,+19192330288,2021-06-22,120,-78.73871452,35.76064286,M
1891554,4092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,RALEIGH,27613,+19196151703,2012-09-11,123,-78.68248786,35.89850336,M
1891555,4092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,RALEIGH,27609,+19198812590,2012-09-21,126,-78.63994726,35.83691426,M
1891556,4092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,RALEIGH,27606,+19198586501,2015-04-08,133,-78.68893912,35.78436913,M
1891557,4092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,MORRISVILLE,27560,+19193883500,2012-04-19,135,-78.81676023,35.80454378,M
1891560,4092018483,LoneRider at Five Points,1626 Glenwood Ave ,RALEIGH,27608,+19193222434,2020-11-10,154,-78.64536523,35.80340045,M
1891561,4092016771,Linus & Pepper's,126 S SALISBURY ST ,RALEIGH,27601,+19196492154,2014-09-30,182,-78.64041384,35.77862242,M
1891564,4092016265,ACRO CAFE,11 W JONES ST ,RALEIGH,27601,+19197337450,2012-09-14,196,-78.63943083,35.78220511,M
1891565,4092014520,El Tapatio #4,4511 New Bern AVE,RALEIGH,27610,+19192559161,2006-03-09,204,-78.55938498,35.79875761,M
1891566,4092018700,Chick-fil-A #01488,220 SHENSTONE BLVD,GARNER,27529,nan,2021-08-28,205,-78.58261702,35.69212111,M
1891567,4092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,CARY,27519,+19193712693,2014-11-13,206,-78.88824644,35.84415135,M
1891568,4092015101,Michelangelos,7280 GB Alford  HWY ,HOLLY SPRINGS,27540,+19195574992,2008-03-26,224,-78.83292783,35.63500069,M
1891569,4092018715,Foundation Senior Living Food Service,1437 Aversboro RD ,GARNER,27529,+19196242564,2021-09-13,228,-78.61572011,35.69056999,M
1891572,4092015443,MoonRunners Saloon,1506 US 70 HWY W ,GARNER,27529,+19196625119,2009-08-12,238,-78.64623771,35.72377782,M
1891574,4092015913,SAS BUILDING C CAFE,820 SAS CAMPUS DR ,CARY,27513,+19195318651,2011-03-16,247,-78.75122071,35.81750425,M
1891575,4092018634,Ish Deli,702 N PERSON ST,RALEIGH,27604,+19198107451,2021-06-01,260,-78.63408794,35.78910376,M
1891580,4092017901,Vaishno Bhog,810 E Chatham ST ,CARY,27560,+19196783172,2018-07-11,282,-78.76305622,35.79140272,M
1891581,4092015915,SUBWAY #50592,601 N MAIN ST ,HOLLY SPRINGS,27545,+19195574411,2011-03-17,290,-78.83661982,35.66097455,M
1891582,4092016809,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,RALEIGH,27604,+19842328907,2014-11-10,292,-78.64011364,35.78945486,M
1891583,4092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,RALEIGH,27609,+19197906409,2009-09-04,293,-78.61557526,35.84978294,M
1891584,4092017191,TAMARIND,8531-109 BRIER CREEK PKY ,RALEIGH,27617,+19194063473,2016-03-31,19,-78.78606215,35.90557616,M
