name,review_count,rating,price,phone,display_phone,category_title
Peace China,63,3.5,1,19196769968,(919) 676-9968,chinese
Asian Cafe,7,3.0,2,19196769968,(919) 676-9968,chinese
Northside Bistro & Cocktails,23,4.5,-1,19198905225,(919) 890-5225,american (new)
The Daily Planet Cafe,89,4.0,2,19197078060,(919) 707-8060,cafes
Hibachi 88,46,3.5,1,19192311688,(919) 231-1688,japanese
Bond Brothers Beer Company,179,4.0,2,19194592670,(919) 459-2670,beer gardens
Bond Brothers Brewery,7,3.0,-1,19194592670,(919) 459-2670,breweries
Raleigh Golf Association,18,3.0,-1,19197729987,(919) 772-9987,golf
Raleigh Raw,220,4.5,2,19194000944,(919) 400-0944,juice bars & smoothies
D's Bottle Shop,21,4.5,2,19194357034,(919) 435-7034,"beer, wine & spirits"
Hampton Inn Raleigh/Cary,26,3.5,2,19198595559,(919) 859-5559,hotels
Sonic Drive-In,34,2.0,1,19195541209,(919) 554-1209,burgers
Pizza Hut,34,2.0,1,19192340652,(919) 234-0652,pizza
PDQ Wake Forest,82,4.0,1,19196484221,(919) 648-4221,fast food
Bada Bean,18,4.0,2,19842354608,(984) 235-4608,coffee & tea
Five Guys,69,4.0,1,19198447057,(919) 844-7057,fast food
Crafty Beer Shop,28,4.0,2,19197030874,(919) 703-0874,"beer, wine & spirits"
Coffee & Crepes,336,4.0,1,19192330288,(919) 233-0288,creperies
BottleMixx,39,4.5,2,19196151703,(919) 615-1703,"beer, wine & spirits"
Yard House,648,3.5,2,19198812590,(919) 881-2590,bars
Dunkin',55,2.5,1,19198586501,(919) 858-6501,donuts
Ruckus - Morrisville,325,3.5,2,19193883500,(919) 388-3500,pizza
Lonerider at Five Points,12,4.0,-1,19193222434,(919) 322-2434,breweries
El Tapatio Mexican Restaurant,108,4.0,1,19192559161,(919) 255-9161,mexican
El Tapatio,13,3.5,1,19192559161,(919) 255-9161,mexican
Taziki's Mediterranean Cafe - Cary - RTP,101,3.5,2,19193712693,(919) 371-2693,mediterranean
Michelangelo's Pizza,43,4.0,1,19195574992,(919) 557-4992,pizza
Moon Runners Saloon,197,4.0,2,19196625119,(919) 662-5119,southern
MoonRunners Truck,9,4.0,-1,19196625119,(919) 662-5119,food trucks
The Garner Ale House,1,1.0,2,19196625119,(919) 662-5119,bars
Characters Quarters,11,2.5,2,19196625119,(919) 662-5119,american (traditional)
Vaishno Bhog,18,3.0,-1,19196783172,(919) 678-3172,indian
Subway,2,2.0,1,19195574411,(919) 557-4411,sandwiches
Night Kitchen Bakehouse & Cafe,111,4.0,1,19842328907,(984) 232-8907,cafes
Tijuana Flats,155,4.0,1,19197906409,(919) 790-6409,mexican
Tamarind,125,3.5,2,19194063473,(919) 406-3473,asian fusion
Firewurst,78,3.5,1,19194063473,(919) 406-3473,burgers
American Deli,10,3.5,1,19195165111,(919) 516-5111,chicken wings
Al-Aseel,38,4.5,-1,19197411111,(919) 741-1111,middle eastern
Hady International Food Restaurant,36,4.5,-1,19197411111,(919) 741-1111,caribbean
Subway,4,3.0,1,19192660300,(919) 266-0300,sandwiches
Five Guys,42,3.0,2,19196160011,(919) 616-0011,burgers
Union Special,62,4.5,2,19842003094,(984) 200-3094,bakeries
Rise Holly Springs,93,3.0,1,19195867343,(919) 586-7343,breakfast & brunch
Empanadas and More,33,4.5,1,19195358080,(919) 535-8080,empanadas
Clark Dining Hall,2,3.0,-1,19195134680,(919) 513-4680,breakfast & brunch
Moe's Southwest Grill,35,3.0,1,19195703222,(919) 570-3222,mexican
Five Guys,47,4.0,1,19193800450,(919) 380-0450,burgers
Subway,14,2.0,1,19198340605,(919) 834-0605,sandwiches
Szechuan Mansion Hotpot,85,4.5,-1,19198001802,(919) 800-1802,szechuan
The Melting Pot,180,3.5,3,19198780477,(919) 878-0477,fondue
Starbucks,36,3.0,2,19195573246,(919) 557-3246,coffee & tea
First China Restaurant,32,4.0,1,19198525857,(919) 852-5857,chinese
Burger King,25,2.0,1,19193870071,(919) 387-0071,burgers
Poke Bros,63,4.0,-1,19197972322,(919) 797-2322,poke
Pat Murnane's Irish Pub,61,4.0,2,19195625570,(919) 562-5570,pubs
Hotel Sierra,10,4.5,2,19193885355,(919) 388-5355,hotels
HYATT house Raleigh Durham Airport,49,3.5,2,19193885355,(919) 388-5355,hotels
CowBar Burgers & Fries,106,4.0,-1,19198342720,(919) 834-2720,burgers
Morgan Street Food Hall,515,4.0,2,19198342720,(919) 834-2720,food court
Starbucks,41,2.5,2,19198195059,(919) 819-5059,coffee & tea
Kazu Hibachi,18,5.0,-1,19199778999,(919) 977-8999,japanese
China Wok Chinese Restaurant,15,2.0,1,19198629898,(919) 862-9898,chinese
Biscuitville,28,4.0,1,19198038112,(919) 803-8112,breakfast & brunch
New Rainbow,19,4.0,1,19195678272,(919) 567-8272,chinese
Zebulon Country Club,3,3.5,-1,19192698311,(919) 269-8311,country clubs
Tenko Japan,78,4.0,1,19198764545,(919) 876-4545,japanese
Red Bowl Asian Bistro,131,3.0,2,19193889977,(919) 388-9977,asian fusion
Hayashi Japanese Restaurant,142,4.0,2,19195540508,(919) 554-0508,sushi bars
Hibachi Japan,26,3.0,1,19195568882,(919) 556-8882,japanese
Yummy Hibachi & Wings,27,3.5,1,19193730325,(919) 373-0325,japanese
Champa Thai & Sushi Restaurant,269,3.5,2,19198060078,(919) 806-0078,sushi bars
Randy's Pizza,144,4.0,1,19193225990,(919) 322-5990,pizza
Pizza Hut,23,2.0,1,19198517777,(919) 851-7777,pizza
Sky Zone Trampoline Park,33,4.0,-1,19199484450,(919) 948-4450,trampoline parks
The Pickled Onion Restaurant & Bar,165,4.0,2,19198484161,(919) 848-4161,sports bars
Clyde Cooper's Barbecue,108,4.0,1,19198327614,(919) 832-7614,barbeque
Clyde Cooper's Barbecue,176,3.5,2,19198327614,(919) 832-7614,barbeque
KFC,24,2.0,1,19193037997,(919) 303-7997,fast food
Roly Poly,38,4.0,1,19197850441,(919) 785-0441,sandwiches
Pizza Hut,31,1.5,1,19197799200,(919) 779-9200,pizza
Holiday Inn Raleigh-Durham Airport,29,3.5,2,19194651910,(919) 465-1910,hotels
Another Broken Egg Cafe,342,3.5,2,19194651079,(919) 465-1079,breakfast & brunch
Thai Cafe,150,4.0,2,19194531679,(919) 453-1679,thai
Chipotle Mexican Grill,54,2.5,1,19193625435,(919) 362-5435,mexican
Comfort Inn & Suites,12,2.5,2,19195579000,(919) 557-9000,hotels
Taco Bell,25,1.5,1,19194676318,(919) 467-6318,fast food
KFC,29,1.5,1,19194676318,(919) 467-6318,fast food
Bravo's Mexican Grill,140,3.5,2,19194813811,(919) 481-3811,mexican
Gino's Pizza,232,4.5,1,19197837555,(919) 783-7555,pizza
Smithfield's Chicken 'N Bar-B-Q,122,3.5,1,19194682607,(919) 468-2607,barbeque
Rancho Grande,63,4.5,1,19194694245,(919) 469-4245,latin american
C&T Wok,547,4.0,2,19194678860,(919) 467-8860,chinese
Bojangles' Famous Chicken and Biscuits,20,3.0,1,19197724512,(919) 772-4512,southern
