OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1924822,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012-04-12T04:00:00Z,Restaurant,2,-78.63943083,35.78220511,M
1924823,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012-04-18T04:00:00Z,Restaurant,4,-78.57953261,35.76724571,M
1924824,04092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,,CARY,NC,27511,(919) 459-2670,2016-03-11T05:00:00Z,Restaurant,5,-78.77802091,35.78798563,M
1924825,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020-04-22T04:00:00Z,Restaurant,6,-78.47356613,35.79722482,M
1924826,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019-08-26T04:00:00Z,Mobile Food Units,10,-78.32392727,35.83867806,M
1924827,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016-03-14T04:00:00Z,Food Stand,11,-78.82726689,35.7464159,M
1924828,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016-04-05T04:00:00Z,Restaurant,16,-78.84948074,35.66266499,M
1924829,04092018593,Wendy's,1809 N HARRISON AVE ,,CARY,NC,27513,(919) 677-0039,2021-03-24T04:00:00Z,Restaurant,25,-78.76795619,35.83059406,M
1924830,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013-05-31T04:00:00Z,Restaurant,28,-78.54504471,35.96485726,M
1924831,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016-09-27T04:00:00Z,Restaurant,32,-78.537511,35.87630713,M
1924832,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016-04-01T04:00:00Z,Restaurant,34,-78.66755526,35.73521897,M
1924833,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016-03-14T04:00:00Z,Restaurant,38,-78.82726689,35.7464159,M
1924834,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016-03-14T04:00:00Z,Restaurant,39,-78.63957991,35.77810063,M
1924835,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020-05-20T04:00:00Z,Restaurant,40,-78.55981965,35.9407555,M
1924836,04092016487,PEACE CHINA,13220 Strickland  RD ,Ste 167,RALEIGH,NC,27613,(919) 676-9968,2013-08-14T04:00:00Z,Restaurant,42,-78.72593809,35.90878313,M
1924837,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018-05-14T04:00:00Z,Restaurant,50,-78.62038753,35.82333592,M
1924838,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010-07-09T04:00:00Z,Mobile Food Units,51,-78.58339304,35.85150753,M
1924839,04092018645,Five Guys #1710,1121 Parkside Main ST ,,CARY,NC,27519,(919) 380-0450,2021-06-07T04:00:00Z,Restaurant,61,-78.88929435,35.84836238,M
1924840,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016-03-14T04:00:00Z,Food Stand,66,-78.82726689,35.7464159,M
1924841,04092025393,Little Caesars #39,203 Timber  DR ,,GARNER,NC,27529,(919) 772-7775,2021-09-24T04:00:00Z,Food Stand,72,-78.60613102,35.68500723,M
